M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
14,10.0,1.0,0.31680704755633765,4.490227208189618,4.99999999999281,5.56470133421075,9.999999999999478,0.4166666666666667,0.6474447947763271,2.666666666663671,3.5897791791053084,0.8069125256704318,-0.5224761692439583,-0.2579912353475041,3.5897791791006535,-0.25799123534883783
20,10.0,1.0,0.2753770498822853,4.038454312836914,4.99999999999281,4.492459002353773,9.999999999999478,0.3333333333333333,0.5295619313080492,2.3333333333309367,3.1182477252321967,0.8989407161469948,-0.5611803910633617,-0.3028535211857598,3.118247725228389,-0.3028535211870129
28,10.0,1.0,0.2322613009616902,3.4569339399270125,4.99999999999281,3.496683573072152,9.999999999999478,0.2631578947368421,0.4118818181432979,2.0526315789454763,2.6475272725731918,0.9886321903842686,-0.5715669998938813,-0.3294377004608702,2.64752727257023,-0.32943770046207554
39,10.0,1.0,0.1891777122276332,2.81675052308457,4.99999999999281,2.622069223121782,9.999999999999478,0.20408163265306123,0.3047408194353487,1.8163265306107776,2.218963277741395,1.0742472007398052,-0.5506666874520683,-0.32904201085805784,2.2189632777392037,-0.3290420108592639
54,10.0,1.0,0.14960241520874187,2.2461899011115496,4.99999999999281,1.9214695787274167,9.999999999999478,0.15625,0.21856160690684992,1.6249999999988765,1.8742464276273996,1.1689958175654251,-0.4984713008495716,-0.29846452226293274,1.8742464276258284,-0.2984645222641935
74,10.0,1.0,0.11619088549431264,1.8290843026250472,4.99999999999281,1.4018744734203432,9.999999999999478,0.11904761904761904,0.15574693734947948,1.4761904761896203,1.622987749397918,1.3047418562108364,-0.4256428753000078,-0.2485833498168838,1.6229877493967981,-0.2485833498182345
103,10.0,1.0,0.08736576607593503,1.5378933835506252,4.99999999999281,1.0013260941781694,9.999999999999478,0.08849557522123894,0.10867649506496663,1.3539823008843195,1.4347059802598665,1.535856692931626,-0.34190991800700676,-0.1918361639059778,1.4347059802590851,-0.1918361639074304
144,10.0,1.0,0.06450448210576015,1.352835073483746,4.99999999999281,0.7113545767700147,9.999999999999478,0.06493506493506493,0.0756692509353615,1.2597402597397929,1.302677003741446,1.901773205180524,-0.26384795826779306,-0.142157266983297,1.302677003740902,-0.14215726698483877
200,10.0,1.0,0.047454110960318194,1.2380956099055764,4.99999999999281,0.5091778079358384,9.999999999999478,0.047619047619047616,0.053319161340982385,1.190476190475848,1.2132766453639294,2.431558466628202,-0.20000124928222407,-0.10423948829417584,1.2132766453635462,-0.10423948829578555
277,10.0,1.0,0.03478003201088859,1.1639140848442258,4.99999999999281,0.36593113298333824,9.999999999999478,0.03484320557491289,0.037861759478252245,1.139372822299401,1.151447037913009,3.1806916108917735,-0.14972027918251962,-0.07605842379600658,1.1514470379127368,-0.07605842379766736
