kind,case,kd,M,p,xf,g
meanfield,decoy,30.0,2278,0.08654852196042423,2.8424669741464186,1.0932766893775234
meanfield,iteron,30.0,2278,0.08654852196042423,2.8424669741464186,0.015538014415799273
meanfield,decoy,30.0,2541,0.07771433188924368,2.5278826694261625,1.0831092098978603
meanfield,iteron,30.0,2541,0.07771433188924368,2.5278826694261625,0.013689865003983712
meanfield,decoy,30.0,2835,0.06975325984662728,2.2495083348035223,1.074077754076829
meanfield,iteron,30.0,2835,0.06975325984662728,2.2495083348035223,0.012080734300114863
meanfield,decoy,30.0,3162,0.06261732911603461,2.0040053350992366,1.0660866038941632
meanfield,iteron,30.0,3162,0.06261732911603461,2.0040053350992366,0.010682216209408612
meanfield,decoy,100.0,5,0.6629425043286147,196.68528747835694,1.011109381419813
meanfield,iteron,100.0,5,0.6629425043286147,196.68528747835694,0.9943516967830979
meanfield,decoy,100.0,6,0.6621927967329074,196.02684321960257,1.0133303393353863
meanfield,iteron,100.0,6,0.6621927967329074,196.02684321960257,0.9931997377928222
meanfield,decoy,100.0,7,0.6614414781871828,195.36990965268973,1.015550793166034
meanfield,iteron,100.0,7,0.6614414781871828,195.36990965268973,0.9920403335428272
meanfield,decoy,100.0,8,0.660688554978697,194.71449156017042,1.0177706569964335
meanfield,iteron,100.0,8,0.660688554978697,194.71449156017042,0.9908734800096057
meanfield,decoy,100.0,9,0.6599340335189963,194.06059369832903,1.0199898443921531
meanfield,iteron,100.0,9,0.6599340335189963,194.06059369832903,0.9896991738450375
meanfield,decoy,100.0,10,0.6591779203441698,193.4082207965583,1.022208268410137
meanfield,iteron,100.0,10,0.6591779203441698,193.4082207965583,0.9885174123836766
meanfield,decoy,100.0,11,0.658420222115083,192.7573775567341,1.0244258416094483
meanfield,iteron,100.0,11,0.658420222115083,192.7573775567341,0.9873281936499374
meanfield,decoy,100.0,12,0.6576609456175879,192.10806865258894,1.0266424760622692
meanfield,iteron,100.0,12,0.6576609456175879,192.10806865258894,0.9861315163651715
meanfield,decoy,100.0,13,0.6569000977627111,191.46029872908477,1.028858083365158
meanfield,iteron,100.0,13,0.6569000977627111,191.46029872908477,0.9849273799546338
meanfield,decoy,100.0,15,0.6553737162517608,190.1693942562236,1.0332858605985717
meanfield,iteron,100.0,15,0.6553737162517608,190.1693942562236,0.9824967310177556
meanfield,decoy,100.0,17,0.6538411353796443,188.88470069854606,1.0377084570134205
meanfield,iteron,100.0,17,0.6538411353796443,188.88470069854606,0.98003625657665
meanfield,decoy,100.0,19,0.6523024149547327,187.60625411586008,1.0421251494663806
meanfield,iteron,100.0,19,0.6523024149547327,187.60625411586008,0.9775459780565923
meanfield,decoy,100.0,21,0.650757616798255,186.33409004723666,1.0465352083714585
meanfield,iteron,100.0,21,0.650757616798255,186.33409004723666,0.9750259287714547
meanfield,decoy,100.0,23,0.6492068047446278,185.06824349087356,1.0509378981199846
