series,dosage,M_pre,M_post,replication_age,age_bin,age_over_T,mean_xf,mean_xf_over_mean,weight
"M = 141, replicating",3,141,282,0.5,30,0.7625,53.47659189658561,1.0300823025392667,1468.1514752427556
"M = 141, replicating",3,141,282,0.5,31,0.7875,54.54466368315913,1.0506558246387767,1457.3615230529679
"M = 141, replicating",3,141,282,0.5,32,0.8125,55.68470313950346,1.072615609780802,1453.8460074294849
"M = 141, replicating",3,141,282,0.5,33,0.8375,57.03942936921416,1.098710756545378,1444.1483992983651
"M = 141, replicating",3,141,282,0.5,34,0.8625,58.09011003803539,1.1189492856697811,1429.7490532353866
"M = 141, replicating",3,141,282,0.5,35,0.8875,59.32753373555343,1.1427849155472605,1394.1379577580933
"M = 141, replicating",3,141,282,0.5,36,0.9125,60.62491867065411,1.1677755369356366,1296.6857710855877
"M = 141, replicating",3,141,282,0.5,37,0.9375,61.98435720957166,1.1939614536267527,1151.224984201138
"M = 141, replicating",3,141,282,0.5,38,0.9625,63.43579332964666,1.22191945557734,882.0166649232837
"M = 141, replicating",3,141,282,0.5,39,0.9875,64.71525404375718,1.2465648151946507,375.71740929952944
M = 212 static (matched buffer),0,212,212,1.0,0,0.0125,32.553539244893926,0.6214503174447044,5708.275109601593
M = 212 static (matched buffer),0,212,212,1.0,1,0.0375,35.80345523849853,0.6834915385451409,1472.1514780975065
M = 212 static (matched buffer),0,212,212,1.0,2,0.0625,36.564341324253405,0.6980169299618605,1495.9066837452742
M = 212 static (matched buffer),0,212,212,1.0,3,0.0875,37.42071004082421,0.7143650943429767,1485.1994218484497
M = 212 static (matched buffer),0,212,212,1.0,4,0.1125,38.18975834729735,0.7290463033689049,1468.4320634180128
M = 212 static (matched buffer),0,212,212,1.0,5,0.1375,39.26493634082775,0.7495715587140308,1474.4225687001226
M = 212 static (matched buffer),0,212,212,1.0,6,0.1625,40.11276863793591,0.7657567619945123,1478.4036207783984
M = 212 static (matched buffer),0,212,212,1.0,7,0.1875,40.97718463265471,0.7822585497196838,1475.8855614030228
M = 212 static (matched buffer),0,212,212,1.0,8,0.2125,41.75906087470175,0.7971846453176861,1477.318668330309
M = 212 static (matched buffer),0,212,212,1.0,9,0.2375,42.80379642318399,0.8171287513445565,1465.1727308774055
M = 212 static (matched buffer),0,212,212,1.0,10,0.2625,43.343847907265214,0.8274383881460727,1464.576166153186
M = 212 static (matched buffer),0,212,212,1.0,11,0.2875,44.61962648342008,0.8517931286606528,1497.7464616354212
M = 212 static (matched buffer),0,212,212,1.0,12,0.3125,45.48981245787914,0.8684050658756928,1459.896928528289
M = 212 static (matched buffer),0,212,212,1.0,13,0.3375,46.273214362087984,0.8833602865168318,1484.620065033349
M = 212 static (matched buffer),0,212,212,1.0,14,0.3625,47.25340327950995,0.9020721909062512,1495.929503031757
M = 212 static (matched buffer),0,212,212,1.0,15,0.3875,48.02797756863749,0.9168588914932946,1498.5574734523345
M = 212 static (matched buffer),0,212,212,1.0,16,0.4125,49.04267866718118,0.9362296368693254,1466.8310711338788
M = 212 static (matched buffer),0,212,212,1.0,17,0.4375,49.98639868179664,0.9542453462596243,1490.694393782586
M = 212 static (matched buffer),0,212,212,1.0,18,0.4625,50.77018024736645,0.969207814674086,1466.5355468319513
M = 212 static (matched buffer),0,212,212,1.0,19,0.4875,51.63662652900793,0.9857483607795094,1481.3770168971485
M = 212 static (matched buffer),0,212,212,1.0,20,0.5125,52.50776944566433,1.0023785661167293,1483.9752705255648
M = 212 static (matched buffer),0,212,212,1.0,21,0.5375,53.70617612322042,1.0252562693548466,1476.3889195092202
M = 212 static (matched buffer),0,212,212,1.0,22,0.5625,54.47424803555803,1.0399188389191507,1463.4480364342628
M = 212 static (matched buffer),0,212,212,1.0,23,0.5875,55.22793949490691,1.0543068841987802,1497.5713813420957
M = 212 static (matched buffer),0,212,212,1.0,24,0.6125,56.26563558943589,1.0741166063461904,1457.3175058760191
M = 212 static (matched buffer),0,212,212,1.0,25,0.6375,57.24026233267276,1.0927223282745566,1451.9331626247938
M = 212 static (matched buffer),0,212,212,1.0,26,0.6625,58.23040920329304,1.1116243309856864,1474.9169383912279
M = 212 static (matched buffer),0,212,212,1.0,27,0.6875,59.26714846911081,1.1314157871773782,1458.4062093401142
M = 212 static (matched buffer),0,212,212,1.0,28,0.7125,60.06911744502891,1.1467254550729598,1469.7572890665015
M = 212 static (matched buffer),0,212,212,1.0,29,0.7375,61.072584319419505,1.1658817379872084,1458.8609101648647
M = 212 static (matched buffer),0,212,212,1.0,30,0.7625,62.014535846101545,1.1838636867661232,1445.0916968452934
M = 212 static (matched buffer),0,212,212,1.0,31,0.7875,62.900014510037884,1.2007675629515695,1434.3295548289882
M = 212 static (matched buffer),0,212,212,1.0,32,0.8125,63.780747673584415,1.2175808470603293,1385.7871165581764
M = 212 static (matched buffer),0,212,212,1.0,33,0.8375,65.01794795952355,1.2411991241593443,1379.4201277874838
M = 212 static (matched buffer),0,212,212,1.0,34,0.8625,66.04819208563363,1.26086658748492,1315.8205037184375
