kd,M,p,xf,g_meas,g_th,CV2_ext_ratio,CV2_int,eps
1.0,92,0.10730546226422903,0.12789747169040666,1.138056386182541,1.0664126463260697,1.2951723381308649,8.445750996920523,0.014305133642689857
1.0,162,0.0613129969260518,0.06729449797908693,1.0698324065147429,1.0376021782472304,1.1445413780291263,15.356503904591493,0.007165853074886411
1.0,285,0.034958619538698936,0.03679343147028151,1.037587590356286,1.0212553962775648,1.0765880076613636,27.626424711517533,0.0038121192402734063
1.0,501,0.01991916825568273,0.02049670390243079,1.0207815869547145,1.0120445760904921,1.0419950482657856,49.21277009012587,0.0020912407867242
3.0,1,0.6909830056250523,9.309016994374424,1.045842475753602,1.0533701036911374,1.0937864840904234,0.5559218386707401,0.9775768402317173
3.0,2,0.669748095655194,8.66050380868909,1.0893227845180873,1.1058672592090404,1.186624128870239,0.6145046853767429,0.9514031370118096
3.0,3,0.6486353952695731,8.054093814190757,1.1302977423318878,1.15642901012129,1.277572986320563,0.6754137785859022,0.9217513245060449
3.0,5,0.6073144470477093,6.963427764760932,1.2043665846357432,1.2475634944044485,1.4504988701871648,0.8027731330390169,0.8537959060586172
3.0,10,0.5131100264894949,4.868899735104529,1.3427946167719806,1.383531801864577,1.8030973828318104,1.1354575171580434,0.6608904722679176
3.0,17,0.40805363645941395,3.0630881801894407,1.4353470824893535,1.3674974243778708,2.060221247210699,1.5601215728420008,0.427246616479453
3.0,30,0.2821066137435888,1.536801587691815,1.4106732752216538,1.211142093390813,1.9899990894245878,1.998544770148143,0.20187934086893844
3.0,52,0.1780607583607766,0.7408405652390944,1.2543199629244322,1.1111695615539912,1.573318569390749,2.281802468207425,0.08870953503074701
3.0,92,0.10465271141245598,0.37195055005352806,1.1283324968435144,1.063740475312501,1.2731342234331195,3.2935306057589626,0.04136277426417943
3.0,162,0.06050048532704168,0.19892137701872603,1.067668821882064,1.0366686081732996,1.1399167132190344,5.521863764777361,0.02114603411517685
3.0,285,0.034703403180892524,0.10953009344510878,1.0369932130679398,1.0209538051286287,1.0753549239489695,9.578482027101904,0.011342314984512169
3.0,501,0.01983786097621873,0.06123165091389507,1.020604478376811,1.0119476353956405,1.0416335012828024,16.757341775701832,0.006246319975071371
10.0,1,0.44300073300054055,9.556999266998936,1.018432156510463,1.019693234354953,1.0372040574145522,0.5251566612866909,0.9748309499183221
10.0,2,0.4312792895836841,9.13744142083211,1.0356478190479617,1.0377291667763255,1.0725664050987997,0.5500304703711486,0.9490491157089661
10.0,3,0.41990243876098193,8.740292683716532,1.0516826758153417,1.0540846769520003,1.1060364506101172,0.5745498190035303,0.9228434583155984
10.0,5,0.3981886198096528,8.009056900951213,1.0803673770325104,1.0818085674685896,1.1671936693561065,0.6222714835009193,0.8698661454691561
10.0,10,0.34983197473401717,6.501680252659306,1.1343552070020995,1.1249451117373312,1.286761735652776,0.731638496265211,0.7408329471503503
10.0,17,0.29497383312001885,4.985444836959157,1.176200013721841,1.1416116534689422,1.3834464722792585,0.856138829956982,0.58508859848546
10.0,30,0.22322302118241566,3.303309364527008,1.1919015247359301,1.123237897588923,1.4206292446678352,1.0071122323198334,0.38838956476001674
10.0,52,0.15396179604361088,1.993986605731712,1.1588861718450219,1.0867538418306244,1.3430171592936095,1.1570006048152326,0.22743244293288953
10.0,92,0.0964828766247747,1.1235753505202064,1.1032827733721222,1.0551077132695073,1.2172328780196817,1.4445152591370178,0.12288137876392163
10.0,162,0.05783392282149443,0.6309045029173804,1.0609355058676653,1.03365164872596,1.125584147610679,2.0696201432291286,0.06670486363987607
10.0,285,0.03384023162001619,0.3555339882948643,1.0350274596747153,1.0199472902481908,1.0712818422806942,3.259046461508199,0.03675290699698035
10.0,501,0.01955858686484134,0.20114798071396467,1.0200027406477714,1.011617441800273,1.0404055909289647,5.397172969062135,0.02050783419681974
30.0,1,0.22922889709649277,9.770771102902984,1.0049901550993985,1.0044102641408126,1.010005211846713,0.5081821778209301,0.9822383689504819
30.0,2,0.22528320591066736,9.549433588178143,1.0097138944451278,1.0084972742549365,1.0195221486355468,0.516165936404209,0.9647359151362677
30.0,3,0.22144094839430964,9.33567715481655,1.0141826256895143,1.0122793316232728,1.0285663982504774,0.5239535167654092,0.9475063180384068
30.0,5,0.21405527973502353,8.92972360132436,1.0223989748160311,1.0189993114548361,1.0452996637048717,0.5389510644501443,0.9139098814226461
30.0,10,0.19720576177692975,8.02794238223018,1.0392092134093944,1.0316353756110348,1.0799557892349725,0.5732358559169749,0.8352783054733702
30.0,17,0.17699338733824704,6.991112415249278,1.0555387333300892,1.0420144383725645,1.114162017560089,0.6143569176454484,0.738436937347452
30.0,30,0.14760330052806955,5.571900984157391,1.070984372856194,1.0487708827469062,1.1470075269021753,0.6744657913124389,0.5961549039453636
30.0,52,0.11392350965387042,4.075977497998217,1.0753739333259518,1.0469087643117199,1.1564290964769284,0.7492300849617325,0.43709677446367967
30.0,92,0.0794626250726306,2.6894384933174624,1.0649027936032534,1.0377993140148276,1.1340179598240132,0.8614521800939717,0.28553080212851323
30.0,162,0.05144641055925565,1.6656814894000638,1.046810305948481,1.0268024767815669,1.0958118166399522,1.063586883148383,0.17403004877339714
30.0,285,0.03160467980270351,0.9926662562289782,1.030243895566462,1.0174409162522606,1.061402484351959,1.4471933220682587,0.10217528942351414
30.0,501,0.018803411553875604,0.5794908115078009,1.0184261874102778,1.0107462967727554,1.0371918992030345,2.149415471211194,0.05899408894040416
