iterons_per_plasmid,copy_number,M_mean,rep_per_plasmid,kd,mean_free_initiator,occupancy,g_coscaling,g_fixed,ratio,g_coscaling_meanfield,chi_over_xf,typical_array
6,10,60,5.0,1.0,5.74848710100133,0.7344819788714514,0.2971657395338202,2.9788181886336047,10.024096967929871,0.24883449251632356,3.0187354650376697,True
6,10,60,5.0,3.0,9.047900849949084,0.6785117442499846,0.40595698447428075,2.2507241157040245,5.544242867550954,0.3737867719544417,1.675322068705746,True
6,10,60,5.0,10.0,15.435736094456969,0.5706028028380564,0.5228424610891074,1.6256548523303593,3.10926325483213,0.5,1.0,True
6,10,60,5.0,30.0,23.97063944421089,0.4273730352336983,0.6337419513550556,1.2711296086106993,2.0057526661960643,0.6147078669352809,0.6267890062732584,True
7,10,70,5.0,1.0,3.58376354448778,0.6608887161495529,0.07154072628882197,3.1415320362184724,43.91249850519519,0.12477255987165203,7.0145827017467255,True
7,10,70,5.0,3.0,6.594695144493384,0.6168967604734733,0.2550187174825326,2.2960899366649197,9.003613379171627,0.2470282909840615,3.048119330852355,True
7,10,70,5.0,10.0,12.784847778981831,0.5269903764068077,0.4305611076226744,1.645351368274825,3.8214119648650238,0.40715233091147407,1.4560832005096074,True
7,10,70,5.0,30.0,21.478720965837415,0.4016920842782552,0.5758361329206716,1.285280327261707,2.232024448939487,0.5542326144546641,0.8042965605406456,True
8,10,80,5.0,1.0,2.342329434945429,0.5942194953388203,0.11998057764404177,3.126830098658132,26.06113556091393,0.07444872860928183,12.432062826057797,True
8,10,80,5.0,3.0,4.9578998965017345,0.5605918964881025,0.14047659679463026,2.262890362214712,16.108664459767233,0.17151242754474133,4.830481291153882,True
8,10,80,5.0,10.0,10.737918345565685,0.4868635816098469,0.3518843084050946,1.641935216010372,4.666122293012711,0.3333333333333333,2.0,True
8,10,80,5.0,30.0,19.356807339864794,0.377920913485215,0.5230830730260363,1.292927599863245,2.471744291750175,0.5,1.0,True
9,10,90,5.0,1.0,1.6363398652459622,0.5363636585474298,0.19881729473959217,2.943587512424035,14.805490217938539,0.05038559848705151,18.846940991620613,True
9,10,90,5.0,3.0,3.86416137107695,0.5107720098490289,0.06565320424276315,2.17111534999244,33.06944992302883,0.1261672583328959,6.925986608676805,True
9,10,90,5.0,10.0,9.153792430815908,0.45057364801315003,0.28767555549060225,1.621672999509355,5.637159531138305,0.276393202250021,2.6180339887498953,True
9,10,90,5.0,30.0,17.54640870410742,0.3560467269554871,0.4757290641507543,1.2954018774691676,2.7229824181157585,0.4521086857389424,1.211857527942788,True
10,10,100,5.0,1.0,1.2233801811479963,0.48707432823892044,0.21365476662008118,2.6557520436679285,12.43010902906913,0.037076178152400725,25.971496249951233,False
10,10,100,5.0,3.0,3.1189510769676163,0.467397090691533,0.02563575780699804,2.0482838657527656,79.8994857563222,0.09751067930843939,9.255286980791771,False
10,10,100,5.0,10.0,7.917606333126619,0.4180831438761169,0.23672189271640676,1.5908006708798388,6.720124837737846,0.23273875808757566,3.296662954709576,False
10,10,100,5.0,30.0,15.996312969193166,0.3359928005135903,0.4336407624026772,1.293929798441295,2.983874927421506,0.41019734898661253,1.4378509575220015,False
11,10,110,5.0,1.0,0.9686415154961643,0.4452489938841494,0.1940224506336745,2.3481426344843506,12.10242746040652,0.028888620217932696,33.61570654659536,False
11,10,110,5.0,3.0,2.595694261746379,0.42985034325787175,0.0176486745801151,1.9192257745374062,108.74617047445663,0.07836730439093552,11.760423594660054,False
11,10,110,5.0,10.0,6.941231803824055,0.3891377057285198,0.1968852265834731,1.5545467773244128,7.8957004763652705,0.19903536728557694,4.024232696117745,False
11,10,110,5.0,30.0,14.662947146135982,0.31764461125381327,0.3964578139565793,1.2895725805363898,3.2527359409735985,0.37367721184002206,1.676106458501724,False
12,10,120,5.0,1.0,0.8012063470635882,0.40962762457864155,0.16364024248340878,2.08128602476653,12.718668667198708,0.02344611408359454,41.65099096739911,False
12,10,120,5.0,3.0,2.215521343407202,0.3973345162925897,0.022212488545659846,1.800023190538114,81.03653882985682,0.06493506493506494,14.399999999999999,False
12,10,120,5.0,10.0,6.159241881062872,0.36338695251327746,0.1658851610931041,1.516734337227797,9.143279165135935,0.17267316464601137,4.791287847477922,False
12,10,120,5.0,30.0,13.509925011559833,0.30086908541954055,0.3637084000112256,1.2832039581382608,3.5281119657908797,0.341886116991581,1.924950591148529,False
