regime,kd,dosage,Mstar_pred,M,kx,mf,mf_static,CV2f,CV2f_static,CV2y,CV2y_static,step,ramp,dCV2y_repl,dCV2f_repl
dilution,200.0,3,135.72088082974528,10,5.00555686350158,50.06170786164116,36.0551394990051,0.1374327195048864,0.18369155618771457,0.24344793702869139,0.4307704142092358,-0.11784964585055321,0.31022460286303394,-0.1873224771805444,-0.04625883668282818
dilution,200.0,3,135.72088082974528,19,5.292800742974082,50.48437644639067,36.86375067694721,0.13216456075970312,0.18067615389219274,0.24453571023176504,0.42438525608199845,-0.14231748271862923,0.3148537607188941,-0.1798495458502334,-0.04851159313248962
dilution,200.0,3,135.72088082974528,38,5.788849462246336,50.141307314971144,37.45113347131807,0.12137371932171098,0.1736819604741223,0.24523624341782815,0.41768748482327944,-0.18759271116287365,0.3183773801862085,-0.1724512414054513,-0.05230824115241131
dilution,200.0,3,135.72088082974528,73,6.815391860901962,50.078045618066014,39.428738220140346,0.10471875634379668,0.15927942283515925,0.238474012767613,0.39074392050792245,-0.25264944840151127,0.32458457022570625,-0.15226990774030946,-0.05456066649136257
dilution,200.0,3,135.72088082974528,141,8.629710088184156,49.637144011431005,41.053430288930244,0.08931417573506814,0.14629347104323076,0.23995900610019535,0.36329820178811906,-0.35299622818304877,0.3372237076515799,-0.1233391956879237,-0.05697929530816262
dilution,200.0,3,135.72088082974528,274,12.290320707806215,49.92764008164447,43.59248730770434,0.07681952000777041,0.12965173840815258,0.22952656273795635,0.33704881388839586,-0.4686734895789965,0.35266852805883486,-0.10752225115043951,-0.05283221840038217
dilution,200.0,3,135.72088082974528,531,19.215363681757864,50.159221595224665,46.0776182426735,0.07168824332388035,0.11274837194749085,0.2204016640953696,0.3124222427018177,-0.5851070551515304,0.37551629183437685,-0.09202057860644808,-0.0410601286236105
dilution,200.0,3,135.72088082974528,1029,32.57430973236703,50.19491990638587,48.03164234878314,0.07199850128889468,0.10053120978469851,0.21200764461145402,0.29665699551230595,-0.6677831324205993,0.3892543778462961,-0.08464935090085193,-0.028532708495803832
dilution,200.0,3,135.72088082974528,1995,57.98224603929954,49.95635531677605,48.809550334791325,0.07337903637573963,0.09057473806767358,0.2089124533227653,0.28773376211864565,-0.7267960017953488,0.40192578917735766,-0.07882130879588034,-0.01719570169193395
dilution,500.0,0,311.5839842184875,0,6.724399225355416,50.594739058457144,50.40133928178811,0.14406401482699413,0.14214449171389726,0.3249845041331094,0.3212967836413185,-0.08368840625446092,0.38434101658931874,0.0036877204917909467,0.0019195231130968715
dilution,500.0,0,311.5839842184875,10,6.831603170727318,50.039343462361494,50.25557131914815,0.14193486003592704,0.142546807233543,0.3189812831783397,0.3275548798103698,-0.10696992446267524,0.39521350379493014,-0.008573596632030112,-0.000611947197615953
dilution,500.0,0,311.5839842184875,19,6.9689545077735655,49.78191723823159,50.511899781950135,0.13774411612045437,0.14171131484133667,0.31906568399592194,0.3202477808646001,-0.12423497355644095,0.4034799650687275,-0.0011820968686781508,-0.003967198720882303
dilution,500.0,0,311.5839842184875,38,7.3310525509328075,49.61722823717482,51.313730238278566,0.13195253769005721,0.1386412784041351,0.32139672685420007,0.3205412711274109,-0.14567164287399573,0.4006761572594516,0.0008554557267891894,-0.006688740714077879
dilution,500.0,0,311.5839842184875,73,8.025513361561897,49.88791240714035,53.31884231186242,0.1184850540864982,0.1316241934799426,0.31429242243472866,0.30426410895809164,-0.17897616517997128,0.3985540279190982,0.010028313476637019,-0.01313913939344441
dilution,500.0,0,311.5839842184875,141,9.129488935529581,49.280006716878304,54.83694382828553,0.10447347365224378,0.12374718684194932,0.3095913055495867,0.28906855428272704,-0.2427818432563005,0.4081409051868712,0.02052275126685965,-0.01927371318970554
